step,timestamp,mode,total_waiting_time,baseline_waiting_time,total_queue,total_throughput,rl_gain
204,1776323944.22391,sumo,9910.0,9945.4,102.0,17.644,35.399999999999636
205,1776323946.2483623,sumo,10010.0,10045.0,100.0,17.517,35.0
206,1776323948.2597332,sumo,10110.0,10145.2,101.0,17.656,35.20000000000073
207,1776323950.264633,sumo,10210.0,10245.2,101.0,17.765,35.20000000000073
208,1776323952.283747,sumo,10310.0,10345.0,100.0,17.143,35.0
209,1776323954.2945585,sumo,10410.0,10445.2,101.0,17.371,35.20000000000073
210,1776323956.3018205,sumo,10515.0,10551.2,106.0,17.119,36.20000000000073
211,1776323958.3100812,sumo,10619.0,10655.0,105.0,17.462,36.0
212,1776323960.3249648,sumo,10724.0,10760.0,105.0,17.212,36.0
213,1776323962.3298633,sumo,10829.0,10866.4,112.0,17.076,37.399999999999636
214,1776323964.3306496,sumo,10934.0,10970.0,105.0,17.182,36.0
215,1776323966.335427,sumo,11039.0,11075.0,105.0,17.276,36.0
216,1776323968.345637,sumo,11144.0,11180.2,106.0,17.319,36.20000000000073
217,1776323970.3430212,sumo,11249.0,11285.2,106.0,17.45,36.20000000000073
218,1776323972.351985,sumo,11354.0,11390.0,105.0,16.727,36.0
219,1776323974.365512,sumo,11459.0,11495.0,105.0,17.118,36.0
220,1776323976.3652327,sumo,11564.0,11600.4,107.0,16.815,36.399999999999636
221,1776323978.3616817,sumo,11669.0,11706.0,110.0,16.982,37.0
222,1776323980.3768687,sumo,11776.0,11812.6,108.0,16.414,36.600000000000364
223,1776323982.393022,sumo,11886.0,11923.2,111.0,16.315,37.20000000000073
224,1776323984.3978968,sumo,11996.0,12033.0,110.0,16.318,37.0
225,1776323986.4022102,sumo,12106.0,12143.2,111.0,16.62,37.20000000000073
226,1776323988.4143643,sumo,12216.0,12253.2,111.0,16.72,37.20000000000073
227,1776323990.4262536,sumo,12326.0,12363.0,110.0,16.948,37.0
228,1776323992.439657,sumo,12436.0,12473.2,111.0,16.109,37.20000000000073
229,1776323994.4312131,sumo,12548.0,12585.6,113.0,16.43,37.600000000000364
230,1776323996.4589093,sumo,12661.0,12698.8,114.0,15.392,37.79999999999927
231,1776323998.464716,sumo,12776.0,12814.2,116.0,16.743,38.20000000000073
232,1776324000.4708574,sumo,12891.0,12929.0,115.0,17.176,38.0
233,1776324002.4734156,sumo,13006.0,13044.2,116.0,17.038,38.20000000000073
234,1776324004.4617803,sumo,13121.0,13160.0,120.0,16.828,39.0
235,1776324006.489699,sumo,13236.0,13274.2,116.0,16.774,38.20000000000073
236,1776324008.4937968,sumo,13351.0,13389.0,115.0,16.879,38.0
237,1776324010.4833248,sumo,13466.0,13504.2,116.0,16.935,38.20000000000073
238,1776324012.5000896,sumo,13581.0,13619.0,115.0,16.855,38.0
239,1776324014.5192113,sumo,13696.0,13734.2,116.0,17.33,38.20000000000073
240,1776324016.5109725,sumo,13811.0,13849.0,115.0,17.078,38.0
241,1776324018.519797,sumo,13926.0,13965.2,121.0,17.435,39.20000000000073
242,1776324020.5313838,sumo,14041.0,14079.2,116.0,16.607,38.20000000000073
243,1776324022.5245366,sumo,14158.0,14196.4,117.0,16.806,38.399999999999636
244,1776324024.5471694,sumo,14278.0,14317.2,121.0,16.408,39.20000000000073
245,1776324026.559871,sumo,14398.0,14437.2,121.0,16.994,39.20000000000073
246,1776324028.5664334,sumo,14518.0,14557.0,120.0,17.182,39.0
247,1776324030.585604,sumo,14638.0,14677.2,121.0,17.449,39.20000000000073
248,1776324032.6001425,sumo,14758.0,14797.2,121.0,16.434,39.20000000000073
249,1776324034.5972865,sumo,14880.0,14919.4,122.0,16.883,39.399999999999636
250,1776324036.60693,sumo,15003.0,15042.8,124.0,15.876,39.79999999999927
251,1776324038.6208456,sumo,15128.0,15168.2,126.0,16.371,40.20000000000073
252,1776324040.6383545,sumo,15253.0,15293.0,125.0,16.614,40.0
253,1776324042.6265547,sumo,15378.0,15418.4,127.0,16.228,40.399999999999636
254,1776324044.6421351,sumo,15503.0,15543.0,125.0,17.129,40.0
255,1776324046.650372,sumo,15628.0,15668.0,125.0,17.354,40.0
256,1776324048.6533418,sumo,15753.0,15794.4,132.0,16.894,41.399999999999636
257,1776324050.665735,sumo,15878.0,15918.0,125.0,17.358,40.0
258,1776324052.6776521,sumo,16003.0,16043.0,125.0,17.337,40.0
259,1776324054.6863298,sumo,16128.0,16168.4,127.0,17.313,40.399999999999636
260,1776324056.6937642,sumo,16253.0,16293.0,125.0,17.359,40.0
261,1776324058.739239,sumo,16378.0,16419.2,131.0,17.35,41.20000000000073
262,1776324060.7339847,sumo,16503.0,16543.2,126.0,16.618,40.20000000000073
263,1776324062.7400355,sumo,16628.0,16668.0,125.0,17.457,40.0
264,1776324064.7401829,sumo,16755.0,16795.8,129.0,17.053,40.79999999999927
265,1776324066.7623465,sumo,16885.0,16926.0,130.0,16.951,41.0
266,1776324068.791296,sumo,17015.0,17056.0,130.0,17.023,41.0
267,1776324070.7887394,sumo,17145.0,17186.4,132.0,16.719,41.400000000001455
268,1776324072.8147004,sumo,17275.0,17316.0,130.0,16.645,41.0
269,1776324074.812189,sumo,17407.0,17448.6,133.0,16.245,41.599999999998545
270,1776324076.809539,sumo,17542.0,17584.2,136.0,15.74,42.20000000000073
271,1776324078.8060284,sumo,17677.0,17719.0,135.0,16.921,42.0
272,1776324080.8137474,sumo,17812.0,17854.4,137.0,16.357,42.400000000001455
273,1776324082.848873,sumo,17947.0,17989.0,135.0,17.26,42.0
274,1776324084.845223,sumo,18082.0,18124.0,135.0,17.34,42.0
275,1776324086.8540792,sumo,18217.0,18259.2,136.0,17.365,42.20000000000073
276,1776324088.8521178,sumo,18352.0,18394.2,136.0,17.005,42.20000000000073
277,1776324090.8653316,sumo,18487.0,18530.0,140.0,17.705,43.0
278,1776324092.8707623,sumo,18622.0,18664.2,136.0,16.64,42.20000000000073
279,1776324094.8953903,sumo,18757.0,18799.2,136.0,16.829,42.20000000000073
